,name,distance,moving_time,total_elevation_gain,workout_type,kudos_count,max_speed,average_heartrate,max_heartrate,pr_count,suffer_score,is_named,local_date,run_per_day,max_run,run_area,average_speed_mpk,datetime,hour,uk_awake
284,🐅,10.4163,45.56666666666667,18.0,0.0,29,5.0,130.3,149.0,0,10.0,1,2021-03-17,2,0,5.4289354011416435,4.3742782152230975,2021-03-17 21:16:06,21,0
285,🦏,16.1663,70.25,20.0,0.0,36,5.3,141.9,158.0,3,25.0,1,2021-03-17,2,1,16.85905735939741,4.345762711864407,2021-03-17 14:32:33,14,1
286,💩 ,1.6812,8.166666666666666,8.0,0.0,14,5.7,139.2,150.0,0,2.0,1,2021-03-16,4,0,0.017540878616273403,4.857475954532206,2021-03-16 21:23:29,21,0
287,🦧,12.8514,42.18333333333333,21.0,3.0,56,6.5,146.3,191.0,0,24.0,1,2021-03-16,4,1,0.5353358574211597,3.2820007877116972,2021-03-16 20:33:39,20,0
288,🆙 ,3.3194,15.3,3.0,0.0,8,6.9,113.3,126.0,0,2.0,1,2021-03-16,4,0,0.008149072527885437,4.60896017699115,2021-03-16 20:11:34,20,0
289,🦖,8.137,36.88333333333333,9.0,0.0,34,4.8,128.4,155.0,0,8.0,1,2021-03-16,4,0,0.4906090907752514,4.532499320097906,2021-03-16 14:10:48,14,1
290,🦆,8.0639,42.21666666666667,52.0,0.0,35,9.1,127.8,153.0,0,9.0,1,2021-03-15,2,0,0.047532375901937485,5.23429648241206,2021-03-15 21:08:18,21,0
291,🐸,16.111,67.91666666666667,201.9,0.0,57,5.4,147.0,163.0,2,40.0,1,2021-03-15,2,1,0.6012152880430222,4.214972180070815,2021-03-15 14:30:54,14,1
292,Miler Haller ,8.193200000000001,36.7,11.0,0.0,48,6.7,131.3,142.0,0,8.0,1,2021-03-14,1,1,6.094854325056076,4.4789035205589895,2021-03-14 18:09:44,18,1
293,"no donkage, full bonkage",27.691200000000002,120.01666666666667,282.1,2.0,77,6.6,154.3,172.0,2,128.0,1,2021-03-13,1,1,107.92624671012163,4.33446033810143,2021-03-13 16:07:26,16,1
294,"bada bing, bada boom",16.1111,72.85,231.2,0.0,53,6.5,134.8,156.0,0,19.0,1,2021-03-12,2,1,3.6057201214134693,4.5214324470971246,2021-03-12 22:09:08,22,0
295,fiven’t,10.4326,42.28333333333333,8.0,0.0,36,6.3,147.9,169.0,0,27.0,1,2021-03-12,2,0,9.93817811831832,4.053015564202335,2021-03-12 16:03:59,16,1
296,Dayfrit ,21.059099999999997,93.0,288.3,0.0,55,5.4,133.6,157.0,0,24.0,1,2021-03-11,2,1,22.029108367860317,4.416004239533652,2021-03-11 21:58:44,21,0
297,Early dub,8.1858,36.2,9.0,0.0,29,6.0,126.7,145.0,0,7.0,1,2021-03-11,2,0,5.675293505191803,4.421862563014062,2021-03-11 14:13:07,14,1
298,A -> B -> A,8.0624,34.21666666666667,8.0,0.0,32,5.2,128.8,140.0,0,7.0,1,2021-03-10,2,0,0.1296517439186573,4.243952126305068,2021-03-10 23:29:32,23,0
