,name,distance,moving_time,total_elevation_gain,workout_type,kudos_count,max_speed,average_heartrate,max_heartrate,pr_count,suffer_score,is_named,local_date,run_per_day,max_run,run_area,average_speed_mpk,datetime,hour,uk_awake,kfold
0,WD,3.0108,14.966666666666669,18.0,0.0,8,4.1,150.6,162.0,0,11.0,1,2021-01-12,4,0,0.0355008523911237,4.9704742022069786,2021-01-12 23:47:24,23,0,0
1,"Dayman, Fighter of the Nightman",10.175,45.5,196.6,0.0,52,8.1,143.5,159.0,2,18.0,1,2020-03-23,2,0,5.286324994813185,4.471693050711028,2020-03-23 18:17:14,18,1,0
2,Kathryn Albertson park is well nice ,9.2919,37.766666666666666,8.0,0.0,50,5.7,140.2,153.0,1,12.0,1,2020-10-18,1,1,3.569154068827629,4.06388685686418,2020-10-18 16:23:49,16,1,0
3,"Quads on fire, strong desire ",15.0173,62.583333333333336,17.0,0.0,56,5.4,156.2,187.0,1,66.0,1,2020-11-17,1,1,9.783741552382708,4.167541885471368,2020-11-17 16:14:17,16,1,0
4,Dub + sprints ,8.0886,41.31666666666667,42.0,0.0,31,8.6,131.0,148.0,0,9.0,1,2021-01-25,2,0,0.0055879354476928,5.107569721115538,2021-01-25 22:40:18,22,0,0
5,6 x 1 mile [2 min float],12.8,41.53333333333333,0.0,3.0,33,0.0,,,0,,1,2020-08-15,3,1,0.0,3.24493769470405,2020-08-15 12:55:00,12,1,0
6,This was very nice. ,22.6554,108.88333333333334,469.3,2.0,90,5.1,148.5,177.0,1,75.0,1,2020-10-31,1,1,0.7792259566485882,4.80565167243368,2020-10-31 15:06:08,15,1,0
7,WU,4.8267,22.116666666666667,37.0,0.0,14,4.4,135.5,152.0,0,5.0,1,2020-10-09,4,0,0.1491338480263948,4.582348089084411,2020-10-09 21:12:03,21,0,0
8,River dip was aggressively needed,6.502800000000001,29.4,8.0,0.0,38,6.4,127.6,139.0,0,6.0,1,2020-09-01,2,0,0.0563857611268758,4.5214324470971246,2020-09-01 20:58:03,20,0,0
9,Family business ,9.2875,38.3,15.0,0.0,38,5.6,147.8,181.0,9,25.0,1,2020-03-17,1,1,7.071724394336343,4.123206333498269,2020-03-17 18:11:00,18,1,0
10,A -> B -> A,8.0624,34.21666666666667,8.0,0.0,32,5.2,128.8,140.0,0,7.0,1,2021-03-10,2,0,0.1296517439186573,4.243952126305068,2021-03-10 23:29:32,23,0,0
11,Scottish virtual road relays - 14:26,5.0163,14.483333333333333,8.0,1.0,109,7.3,152.5,173.0,1,12.0,1,2020-04-04,3,0,3.8964700024735066,2.8873873873873874,2020-04-04 14:43:17,14,1,0
12,WU,4.7423,19.65,54.0,0.0,10,5.2,141.6,160.0,0,7.0,1,2019-12-31,3,0,3.8598900232500455,4.143709597215316,2019-12-31 09:04:05,9,1,0
13,Moist mileage ,16.2808,74.26666666666667,13.0,0.0,46,6.1,159.4,177.0,0,94.0,1,2021-01-13,2,1,0.8427072316408157,4.561029009304872,2021-01-13 15:41:16,15,1,0
14,The hype continues ,9.2329,30.05,8.6,3.0,65,6.2,162.5,194.0,2,52.0,1,2020-01-28,4,1,12.978459926671349,3.25444249170084,2020-01-28 18:48:18,18,1,0
15,"no donkage, full bonkage",27.6912,120.01666666666668,282.1,2.0,77,6.6,154.3,172.0,2,128.0,1,2021-03-13,1,1,107.92624671012165,4.33446033810143,2021-03-13 16:07:26,16,1,0
16,Delightful ,25.896,120.01666666666668,469.0,0.0,81,5.0,153.0,172.0,2,111.0,1,2021-01-16,1,1,7.866206578910351,4.634593993325917,2021-01-16 16:12:44,16,1,0
17,💨 💨 💨 ,12.0004,40.05,68.4,3.0,61,6.7,166.4,193.0,0,69.0,1,2019-12-10,4,1,16.395424609072506,3.33720464557469,2019-12-10 18:46:04,18,1,0
18,Strides ,1.1145,7.4,5.0,0.0,11,7.7,139.0,156.0,0,2.0,1,2020-08-01,4,0,0.1069299855771532,6.6398406374502,2020-08-01 09:46:20,9,1,0
19,That’ll do donkey ,22.8328,102.58333333333331,610.0,0.0,64,5.8,153.5,179.0,10,105.0,1,2021-01-21,2,1,40.882325265556574,4.492183288409704,2021-01-21 22:09:05,22,0,0
20,WU,4.2,17.0,0.0,0.0,7,0.0,,,0,,1,2020-01-28,4,0,0.0,4.047110247693055,2020-01-28 18:00:00,18,1,0
21,🐸,16.111,67.91666666666667,201.9,0.0,57,5.4,147.0,163.0,2,40.0,1,2021-03-15,2,1,0.6012152880430222,4.214972180070815,2021-03-15 14:30:54,14,1,0
22,WU,4.8558,21.816666666666663,38.0,0.0,15,4.5,144.7,160.0,0,11.0,1,2021-01-12,4,0,0.0882369931787252,4.492183288409704,2021-01-12 22:29:10,22,0,0
23,Ohhhhh boys,12.5993,50.0,5.0,0.0,55,6.1,146.3,164.0,2,26.0,1,2020-02-15,1,1,3.200444962203619,3.968095238095238,2020-02-15 16:58:03,16,1,0
24,Scenic ,6.428100000000001,27.716666666666665,10.0,0.0,27,5.2,149.2,166.0,0,20.0,1,2021-01-14,2,0,0.2288143150508403,4.312031047865459,2021-01-14 14:27:39,14,1,0
25,Watch died,1.6,7.0,0.0,0.0,6,0.0,,,0,,1,2019-12-12,2,0,0.0,4.3742782152230975,2019-12-12 19:28:47,19,1,0
26,Hill wave 🌊 ,13.4,53.0,0.0,3.0,32,0.0,,,0,,1,2020-08-11,3,1,0.0,3.954912197437114,2020-08-11 11:55:00,11,1,0
27,Snow day baby ,8.1133,38.28333333333333,9.0,0.0,30,5.9,134.4,161.0,0,13.0,1,2021-02-12,4,1,0.1644366420805454,4.718573046432616,2021-02-12 15:54:42,15,1,0
28,Parks and recreation ,32.2081,128.51666666666668,104.3,2.0,90,5.6,153.0,174.0,12,123.0,1,2020-10-10,1,1,81.79137948900461,3.9899449365573374,2020-10-10 14:37:36,14,1,0
29,🔫 ,9.5818,35.65,12.0,3.0,66,7.5,155.4,178.0,0,36.0,1,2020-08-01,4,1,3.189890230714809,3.720089285714285,2020-08-01 08:34:27,8,1,0
30,TMG,11.0295,48.016666666666666,58.0,0.0,30,4.7,136.1,154.0,0,12.0,1,2020-01-09,2,1,31.57241490043816,4.353709508881923,2020-01-09 17:10:48,17,1,0
